,number,treatment,covariates,value
0,1,0,softness(mon),-2.0
1,2,0,softness(mon),-2.0
2,3,3,softness(mon),-3.0
3,4,3,softness(mon),-2.0
4,5,1,softness(mon),-2.0
5,6,2,softness(mon),-3.0
6,7,2,softness(mon),-1.0
7,8,2,softness(mon),-3.0
8,9,3,softness(mon),-1.0
9,10,0,softness(mon),-2.0
10,11,1,softness(mon),-2.0
11,12,1,softness(mon),-1.0
12,1,0,10-20_g,-0.09055056482676105
13,2,0,10-20_g,-0.0751893332714062
14,3,3,10-20_g,-0.0848248343375827
15,4,3,10-20_g,-0.10581864463108004
16,5,1,10-20_g,-0.1082287444559229
17,6,2,10-20_g,-0.10915543217181345
18,7,2,10-20_g,-0.13026954284055114
19,8,2,10-20_g,-0.09255476720530009
20,9,3,10-20_g,-0.07924395732692091
21,10,0,10-20_g,-0.09836111717664398
22,11,1,10-20_g,-0.10656695398001537
23,12,1,10-20_g,-0.11256932265982611
24,1,0,10-21_g,-0.01962321406248757
25,2,0,10-21_g,-0.024403984408611468
26,3,3,10-21_g,-0.024560806000977098
27,4,3,10-21_g,-0.035627833992051716
28,5,1,10-21_g,-0.034995041786175074
29,6,2,10-21_g,-0.02713295702653573
30,7,2,10-21_g,-0.037709551587964185
31,8,2,10-21_g,-0.03030619341447749
32,9,3,10-21_g,-0.028042165184004486
33,10,0,10-21_g,-0.023720754010349343
34,11,1,10-21_g,-0.02989655051222273
35,12,1,10-21_g,-0.04115546614065679
36,1,0,10-22_g,-0.007842227269609037
37,2,0,10-22_g,-0.01280923239083065
38,3,3,10-22_g,-0.012377552455846597
39,4,3,10-22_g,-0.016209737365683874
40,5,1,10-22_g,-0.025097517892708532
41,6,2,10-22_g,-0.0047491302997183515
42,7,2,10-22_g,-0.025175382641630994
43,8,2,10-22_g,-0.012478625852122338
44,9,3,10-22_g,-0.011026029016462657
45,10,0,10-22_g,-0.011523355433483928
46,11,1,10-22_g,-0.0032493046911441503
47,12,1,10-22_g,-0.01001306496477683
48,1,0,10-23_g,-0.00493093330534633
49,2,0,10-23_g,-0.008844668222950935
50,3,3,10-23_g,0.002592587766872989
51,4,3,10-23_g,-0.003899531266504108
52,5,1,10-23_g,-0.011457084365731784
53,6,2,10-23_g,-0.013976697185828946
54,7,2,10-23_g,-0.006603191950848686
55,8,2,10-23_g,-0.00437417316755484
56,9,3,10-23_g,-0.0049140831890378545
57,10,0,10-23_g,-0.0031701610160727034
58,11,1,10-23_g,-0.01333717170376536
59,12,1,10-23_g,-0.018845960350524993
60,1,0,10-24_g,-0.00935834928485002
61,2,0,10-24_g,-0.0028332194786448994
62,3,3,10-24_g,-0.011661660863239387
63,4,3,10-24_g,-0.007540658516887233
64,5,1,10-24_g,-0.012616201298186192
65,6,2,10-24_g,-0.005377162675402003
66,7,2,10-24_g,-0.019989283958161574
67,8,2,10-24_g,-0.015633270165084756
68,9,3,10-24_g,-0.012791759507796097
69,10,0,10-24_g,-0.009242601546341156
70,11,1,10-24_g,-0.012341791583298511
71,12,1,10-24_g,-0.010417199500687424
