,number,treatment,covariates,value
0,1,0,softness(mon),-2.0
1,2,0,softness(mon),-2.0
2,3,3,softness(mon),-3.0
3,4,3,softness(mon),-2.0
4,5,1,softness(mon),-2.0
5,6,2,softness(mon),-3.0
6,7,2,softness(mon),-1.0
7,8,2,softness(mon),-3.0
8,9,3,softness(mon),-1.0
9,10,0,softness(mon),-2.0
10,11,1,softness(mon),-2.0
11,12,1,softness(mon),-1.0
12,1,0,10-20_g,-46.02048052304103
13,2,0,10-20_g,-47.640958619970434
14,3,3,10-20_g,-48.19434267795282
15,4,3,10-20_g,-43.17339260591049
16,5,1,10-20_g,-52.99146903059889
17,6,2,10-20_g,-29.459068086364525
18,7,2,10-20_g,-46.54184604735427
19,8,2,10-20_g,-29.38956433798745
20,9,3,10-20_g,-26.98616508243923
21,10,0,10-20_g,-45.947052329126635
22,11,1,10-20_g,-46.32096245325842
23,12,1,10-20_g,-48.21965284149856
24,1,0,10-21_g,-8.209567168952105
25,2,0,10-21_g,1.8725106953378656
26,3,3,10-21_g,-6.101553107791318
27,4,3,10-21_g,-7.476438726965455
28,5,1,10-21_g,2.7654171653466904
29,6,2,10-21_g,-4.606543079755852
30,7,2,10-21_g,1.5677374021592243
31,8,2,10-21_g,-7.569176821924671
32,9,3,10-21_g,-10.090565147277204
33,10,0,10-21_g,-8.453320954989337
34,11,1,10-21_g,-7.222838789758285
35,12,1,10-21_g,-9.019867087997198
36,1,0,10-22_g,-2.103118786050885
37,2,0,10-22_g,-0.7758212736085568
38,3,3,10-22_g,-4.631158797042801
39,4,3,10-22_g,-3.4335174670095654
40,5,1,10-22_g,-3.9329974566839354
41,6,2,10-22_g,4.085495410172342
42,7,2,10-22_g,-3.8528233953593087
43,8,2,10-22_g,2.5191343656028238
44,9,3,10-22_g,-1.4732373247577755
45,10,0,10-22_g,-5.365363030043682
46,11,1,10-22_g,7.035563652262738
47,12,1,10-22_g,8.25146036657739
48,1,0,10-23_g,-2.064413291821282
49,2,0,10-23_g,-3.0063257988701366
50,3,3,10-23_g,5.331801889618362
51,4,3,10-23_g,-0.09029376324482996
52,5,1,10-23_g,-3.013277615153328
53,6,2,10-23_g,-9.719104478564134
54,7,2,10-23_g,-4.10636880162798
55,8,2,10-23_g,-6.667970676682373
56,9,3,10-23_g,-1.7086208520883872
57,10,0,10-23_g,-0.9513100925064606
58,11,1,10-23_g,-8.66402687254805
59,12,1,10-23_g,-10.272034170960296
60,1,0,10-24_g,-2.172812488599604
61,2,0,10-24_g,-0.02442186071506569
62,3,3,10-24_g,-7.080239989403722
63,4,3,10-24_g,-1.5615749645528751
64,5,1,10-24_g,-5.830536451910731
65,6,2,10-24_g,0.34903000544711915
66,7,2,10-24_g,5.445669659852996
67,8,2,10-24_g,-5.068005593003832
68,9,3,10-24_g,-4.9269302529009025
69,10,0,10-24_g,-3.055569532279179
70,11,1,10-24_g,-4.979619340765481
71,12,1,10-24_g,-2.8995593907972506
